BfArM: AMIce-ÖFF/ Arzneimittel © BfArM
 ;Nr.;Eingangsnummer;Arzneimittelbezeichnung;Darreichungsform;Zielgruppe;Anwendungsart;Anwendungsgebiete;Indikation/ATC;Bescheiddatum der Zulassung;Zulassungsstatus;Zulassungs-/Reg.-Nr. (AMG 1976), Register-Nr. (AMG 1961) oder Kennziffer;Verkehrsfähigkeit;Parallelimportinformationen;EU-Verfahrensnummer;Zulassungsinhaber;Hersteller/Endfreigabe;Vertreiber;Örtlicher Vertreter;Wirkstoffe;Packungsgrößen-Gruppe/Verkaufsabgrenzung;AM-Klassifikationen
;26;"'2670181";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;*Dieses Arzneimittel wird in Kombination mit einer Chemotherapie auf Fluoropyrimidin-Basis zur Behandlung von erwachsenen Patienten mit metastasiertem Kolon- oder Rektumkarzinom angewendet.*Dieses Arzneimittel wird in Kombination mit Paclitaxel zur First-Line-Behandlung von erwachsenen Patienten mit metastasiertem Mammakarzinom angewendet. Zu weiteren Informationen wie auch zum humanen epidermalen Wachstumsfaktor-Rezeptor 2 (HER2)-Status.*Dieses Arzneimittel wird in Kombination mit Capecitabin zur First-Line-Behandlung von erwachsenen Patienten mit metastasiertem Mammakarzinom angewendet, bei denen eine Behandlung mit anderen Chemotherapie-Optionen, einschließlich Taxanen oder Anthracyclinen, als nicht geeignet angesehen wird. Patienten, die innerhalb der letzten 12 Monate Taxan- und Anthracyclin-haltige Therapieregime im Rahmen der adjuvanten Behandlung erhalten haben, sollten nicht mit Avastin in Kombination mit Capecitabin therapiert werden. Zu weiteren Informationen wie auch zum HER2-Status.*Dieses Arzneimittel wird zusätzlich zu einer platinhaltigen Chemotherapie zur First-Line-Behandlung von erwachsenen Patienten mit inoperablem fortgeschrittenem, metastasiertem oder rezidivierendem nicht-kleinzelligem Bronchialkarzinom, außer bei vorwiegender Plattenepithel-Histologie, angewendet.*Dieses Arzneimittel wird in Kombination mit Erlotinib zur First-Line-Behandlung von erwachsenen Patienten mit inoperablem fortgeschrittenem, metastasiertem oder rezidivierendem nicht-kleinzelligem Nicht-Plattenepithel-Bronchialkarzinom mit Mutationen, die den epidermalen Wachstumsfaktorrezeptor (EGFR) aktivieren, angewendet.*Dieses Arzneimittel wird in Kombination mit Interferon alfa-2a zur First-Line-Behandlung von erwachsenen Patienten mit fortgeschrittenem und/oder metastasiertem Nierenzellkarzinom angewendet.*Dieses Arzneimittel wird in Kombination mit Carboplatin und Paclitaxel zur Primärbehandlung von erwachsenen Patienten mit fortgeschrittenem epithelialem Ovarialkarzinom, Eileiterkarzinom oder primärem Peritonealkarzinom in den International Federation of Gynecology and Obstetrics (FIGO)-Stadien IIIB, IIIC und IV angewendet.*Dieses Arzneimittel wird in Kombination mit Carboplatin und Gemcitabin oder in Kombination mit Carboplatin und Paclitaxel zur Behandlung von erwachsenen Patienten mit einem ersten platinsensitiven Rezidiv eines epithelialen Ovarialkarzinoms, Eileiterkarzinoms oder primären Peritonealkarzinoms angewendet, die zuvor noch nicht mit Bevacizumab oder mit anderen VEGF-Inhibitoren bzw. auf den VEGF-Rezeptor zielenden Substanzen behandelt wurden.*Dieses Arzneimittel wird in Kombination mit Paclitaxel, Topotecan oder pegyliertem liposomalen Doxorubicin zur Behandlung von erwachsenen Patienten mit platinresistentem Rezidiv eines epithelialen Ovarialkarzinoms, Eileiterkarzinoms oder primären Peritonealkarzinoms angewendet, die zuvor mit höchstens zwei Chemotherapien behandelt wurden und die zuvor keine Therapie mit *Dieses Arzneimittel oder einem anderen VEGF-Inhibitor bzw. auf den VEGF-Rezeptor zielenden Substanzen erhalten haben.*Dieses Arzneimittel wird in Kombination mit Paclitaxel und Cisplatin - oder alternativ mit Paclitaxel und Topotecan bei Patienten, die keine platinhaltige Therapie erhalten können - zur Behandlung von erwachsenen Patienten mit persistierendem, rezidivierendem oder metastasiertem Zervixkarzinom angewendet.(Stand der Information: 06/2017);L01XC07 Bevacizumab;14.01.2005;verlängert;EU/1/04/300/001;Ja;;EMEA/H/C/0582;4611002 Roche Registration GmbH;3001678 Roche Pharma AG;-;3001678 Roche Pharma AG;Bevacizumab ((MW: ca. 149 kDa)) (33758) 25 Milligramm;2670181_1, Originalpackung, 4 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;27;"'2671201";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;L01XC07 Bevacizumab;30.03.2012;EMA-notifiziert;EU/1/04/300/002;Ja;;EMEA/H/C/0582;8133108 Cambridge Major Laboratories Europe B.V. CML-Europe BV;8133108 Cambridge Major Laboratories Europe B.V. CML-Europe BV;-;-;Bevacizumab (33758) 25 Milligramm;2671201_1, Originalpackung, 16 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;28;"'2672948";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;L01XC07 Bevacizumab;03.12.2015;EMA-notifiziert;EU/1/04/300/002;Ja;;EMEA/H/C/0582;8124859 Abacus Medicine A/S;8124859 Abacus Medicine A/S;-;-;Bevacizumab (33758) 25 Milligramm;2672948_1, Originalpackung, 16 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;29;"'2675036";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand zu dem Arzneimittel entnehmen Sie bitte den Seiten der EMA.;L01XC07 Bevacizumab;18.02.2020;EMA-notifiziert;EU/1/04/300/001;Ja;;EMEA/H/C/0582;3237116 Orifarm GmbH;3237116 Orifarm GmbH;-;-;Bevacizumab (33758) 25 Milligramm;2675036_1, Originalpackung, 4 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;30;"'2672023";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;L01XC07 Bevacizumab;28.01.2014;EMA-notifiziert;EU/1/04/300/002;Ja;;EMEA/H/C/0582;8146789 European Pharma B.V.;8146789 European Pharma B.V.;-;-;Bevacizumab (33758) 25 Milligramm;2672023_1, Originalpackung, 16 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;31;"'2672399";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand zu dem Arzneimittel entnehmen Sie bitte den Seiten der EMA.;L01XC07 Bevacizumab;22.06.2009;EMA-notifiziert;EU/1/04/300/002;Ja;;EMEA/H/C/0582;8120442 AASTON HEALTHCARE GmbH;8120442 AASTON HEALTHCARE GmbH;-;-;Bevacizumab (33758) 25 Milligramm;2672399_1, Originalpackung, 16 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;32;"'2673504";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;L01XC07 Bevacizumab;20.03.2017;EMA-notifiziert;EU/1/04/300/002;Ja;;EMEA/H/C/0582;8167521 NMG Pharma GmbH;8168911 GMP service s.r.o. ~ 8167596 Entafarma UAB;-;-;Bevacizumab (33758) 25 Milligramm;2673504_1, Originalpackung, 16 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;33;"'2674966";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;L01XC07 Bevacizumab;11.02.2012;erloschen;EU/1/04/300/002;Nein;;EMEA/H/C/0582;8131925 Simgen GmbH;8131925 Simgen GmbH;-;-;Bevacizumab ((MW: ca. 149 kDa)) (33758) 25 Milligramm;2674966_1, Originalpackung, -, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];;
;34;"'2673503";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;L01XC07 Bevacizumab;20.03.2017;EMA-notifiziert;EU/1/04/300/001;Ja;;EMEA/H/C/0582;8167521 NMG Pharma GmbH;8167596 Entafarma UAB ~ 8168911 GMP service s.r.o.;-;-;Bevacizumab (33758) 25 Milligramm;2673503_1, Originalpackung, 4 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;35;"'2670689";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand zu dem Arzneimittel entnehmen Sie bitte den Seiten der EMA.;L01XC07 Bevacizumab;09.12.2009;EMA-notifiziert;EU/1/04/300/001;Ja;;EMEA/H/C/0582;3216120 kohlpharma GmbH;3216120 kohlpharma GmbH;-;-;Bevacizumab (33758) 25 Milligramm;2670689_1, Originalpackung, 4 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;36;"'2672846";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;L01XC07 Bevacizumab;01.01.2012;EMA-notifiziert;EU/1/04/300/001;Ja;;EMEA/H/C/0582;8090132 HAEMATO PHARM GmbH;8090132 HAEMATO PHARM GmbH;-;-;Bevacizumab (33758) 26 Milligramm;2672846_1, Originalpackung, 4 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;37;"'2673012";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;L01XC07 Bevacizumab;26.01.2016;EMA-notifiziert;EU/1/04/300/002;Ja;;EMEA/H/C/0582;8124842 INOPHA GmbH;8124842 INOPHA GmbH;-;-;Bevacizumab (33758) 25 Milligramm;2673012_1, Originalpackung, 16 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;38;"'2670771";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand zu dem Arzneimittel entnehmen Sie bitte den Seiten der EMA.;L01XC07 Bevacizumab;08.09.2010;EMA-notifiziert;EU/1/04/300/002;Ja;;EMEA/H/C/0582;3263935 EMRA-MED Arzneimittel GmbH;3263935 EMRA-MED Arzneimittel GmbH;-;-;Bevacizumab (33758) 25 Milligramm;2670771_1, Originalpackung, 16 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;39;"'7009974";Beovu 120 mg/ml Injektionslösung in einer Fertigspritze;Injektionslösung;Mensch;Intravitreal;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;S01LA06 Brolucizumab;02.06.2022;EMA-notifiziert;EU/1/19/1417/001;Ja;;EMEA/H/C/4913;8140835 axicorp Pharma B.V.;1008280 AxiCorp Pharma GmbH (BS 1) ~ 1009232 axicorp Pharma B.V. (BS 1);-;-;Brolucizumab (42647) ist gleich 120 Milligramm;7009974_1, Originalpackung, 0,165 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;40;"'7022237";Beovu 120 mg/ml Injektionslösung in einer Fertigspritze;Injektionslösung;Mensch;Intravitreal;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;S01LA06 Brolucizumab;05.03.2025;EMA-notifiziert;EU/1/19/1417/001;Ja;;EMEA/H/C/4913;8050167 EurimPharm Arzneimittel GmbH;8050167 EurimPharm Arzneimittel GmbH;-;-;Brolucizumab (42647) ist gleich 120 Milligramm;7022237_1, Originalpackung, 0,165 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;41;"'7001179";Beovu;Injektionslösung;Mensch;Intravitreal;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;S01LA06 Brolucizumab;08.07.2020;EMA-notifiziert;EU/1/19/1417/001;Ja;;EMEA/H/C/4913;8124859 Abacus Medicine A/S;8158367 Abacus Medicine B.V. ~ 8158373 Abacus Medicine Hungary Kft./Abacus Medicine Hungary Ltd. ~ 8191287 Allos, a.s.;-;-;Brolucizumab (42647) ist gleich 120 Milligramm;7001179_1, Originalpackung, 0,165 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;42;"'7001965";Beovu;Injektionslösung;Mensch;Intravitreal;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;S01LA06 Brolucizumab;07.09.2020;EMA-notifiziert;EU/1/19/1417/001;Ja;;EMEA/H/C/4913;8062667 Paranova Pack A/S;4609175 Paranova Pack B.V.;-;-;Brolucizumab (42647) ist gleich 120 Milligramm;7001965_1, Originalpackung, 0,165 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;43;"'2674438";Beovu;Injektionslösung;Mensch;Zur intravitrealen Anwendung;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD).(Stand: Februar 2020);S01LA06 Brolucizumab;17.02.2020;zugelassen;EU/1/19/1417/001;Ja;;EMEA/H/C/4913;8179694 Novartis Europharm Limited';3187683 S.A. Alcon-Couvreur N.V.;-;8011799 Novartis Pharma GmbH;Brolucizumab (42647) 120 Milligramm;2674438_1, Originalpackung, 0,17 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;44;"'7005559";Beovu 120 mg/ml Injektionslösung in einer Fertigspritze;Injektionslösung;Mensch;Intravitreal;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;S01LA06 Brolucizumab;11.05.2021;EMA-notifiziert;EU/1/19/1417/001;Ja;;EMEA/H/C/4913;3237116 Orifarm GmbH;3237116 Orifarm GmbH ~ 8098613 ORIFARM SUPPLY A/S Beiname: MEDIPACK A/S ~ 8144508 Orifarm Supply s.r.o.  (BS 1);-;-;Brolucizumab (42647) ist gleich 120 Milligramm;7005559_1, Originalpackung, 0,165 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;45;"'7017287";Beovu 120 mg Injektionslösung in einer Fertigspritze;Injektionslösung;Mensch;Intravitreal;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;S01LA06 Brolucizumab;12.03.2024;EMA-notifiziert;EU/1/19/1417/001;Ja;;EMEA/H/C/4913;3216120 kohlpharma GmbH;1006554 kohlpharma GmbH (BS 1);-;-;Brolucizumab (42647) ist gleich 120 Milligramm;7017287_1, Originalpackung, 0,165 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;46;"'2675040";Beovu;Injektionslösung;Mensch;Zur intravitrealen Anwendung;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD).(Stand: Februar 2020);S01LA06 Brolucizumab;17.02.2020;zugelassen;EU/1/19/1417/002;Ja;;EMEA/H/C/4913;8179694 Novartis Europharm Limited';3187683 S.A. Alcon-Couvreur N.V.;-;8011799 Novartis Pharma GmbH;Brolucizumab (42647) 120 Milligramm;2675040_1, Originalpackung, 0,23 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;47;"'7009692";Beovu 120 mg/ml Injektionslösung in einer Fertigspritze;Injektionslösung;Mensch;Intravitreal;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;S01LA06 Brolucizumab;03.05.2022;EMA-notifiziert;EU/1/19/1417/001;Ja;;EMEA/H/C/4913;8029457 CC-Pharma GmbH;1006773 CC-Pharma GmbH (BS 1);-;-;Brolucizumab (42647) ist gleich 120 Milligramm;7009692_1, Originalpackung, 0,165 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;48;"'7013252";Beovu 120 mg/ml Injektionslösung in einer Fertigspritze;Injektionslösung;Mensch;Intravitreal;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;S01LA06 Brolucizumab;16.03.2023;EMA-notifiziert;EU/1/19/1417/001;Ja;;EMEA/H/C/4913;8090132 HAEMATO PHARM GmbH;8090132 HAEMATO PHARM GmbH;-;-;Brolucizumab (42647) ist gleich 120 Milligramm;7013252_1, Originalpackung, 0,165 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;49;"'7012946";Eylea 114,3 mg/ml Injektionslösung;Injektionslösung;Mensch;Zur intravitrealen Anwendung;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung - der neovaskulären (feuchten) altersabhängigen Makuladegeneration (nAMD) (siehe Abschnitt 5.1) - einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (siehe Abschnitt 5.1). ;S01LA05 Aflibercept;08.01.2024;zugelassen;EU/1/12/797/003;Ja;;EMEA/H/C/2392;3001000 Bayer Aktiengesellschaft;8172278 Bayer Aktiengesellschaft  (BS 6);-;8011204 Bayer Vital GmbH;Aflibercept (35907) ist gleich 114,3 Milligramm;7012946_1, Originalpackung, 0,263 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;50;"'7018967";Eylea 114,3 mg/ml Injektionslösung in einer Fertigspritze;Injektionslösung;Mensch;intravitreale Anwendung;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung- der neovaskulären (feuchten) altersabhängigen Makuladegeneration (nAMD) (siehe Abschnitt 5.1).- einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (siehe Abschnitt 5.1).;S01LA05 Aflibercept;03.09.2024;zugelassen;EU/1/12/797/004;Ja;;EMEA/H/C/2392;3001000 Bayer Aktiengesellschaft;8172278 Bayer Aktiengesellschaft  (BS 6);-;8011204 Bayer Vital GmbH;Aflibercept (35907) ist gleich 21 Milligramm;7018967_1, Originalpackung, 0,184 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;51;"'7019349";Eylea 114,3 mg/ml Injektionslösung - OP 1 114,3 mg/ml Injektionslösung;Injektionslösung;Mensch;Zur intravitrealen Anwendung;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung - der neovaskulären (feuchten) altersabhängigen Makuladegeneration (nAMD) (siehe Abschnitt 5.1) - einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (siehe Abschnitt 5.1). ;S01LA05 Aflibercept;02.09.2025;EMA-notifiziert;EU/1/12/797/003;Ja;;EMEA/H/C/2392;8124859 Abacus Medicine A/S;8124859 Abacus Medicine A/S;-;-;Aflibercept (35907) ist gleich 114,3 Milligramm;7019349_1, Originalpackung, 0,263 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
